timestamp_ms,distance_cm
291,153.55
301,153.76
331,306.19
331,154.24
371,306.16
371,154.21
411,306.17
411,154.21
451,306.17
451,154.24
491,306.17
491,154.21
531,306.17
531,154.22
571,306.16
571,154.22
611,306.17
611,147.03
651,306.16
651,154.34
691,306.17
691,151.57
731,306.19
731,152.43
771,306.17
771,154.33
811,306.16
811,148.34
851,306.17
851,152.00
891,306.17
891,154.33
931,306.17
931,152.43
971,306.17
971,154.34
1011,306.17
1011,147.41
1051,306.17
1051,154.33
1091,306.17
1091,154.29
1131,306.16
1131,154.33
1171,306.17
1171,154.33
1211,306.17
1211,147.43
1251,306.17
1251,154.29
1291,306.19
1291,152.09
1331,306.17
1331,152.05
1371,306.16
1371,154.24
1411,306.19
1411,146.55
1451,306.17
1451,152.05
1491,306.17
1491,152.03
1531,306.16
1531,152.07
1571,306.17
1571,151.62
1611,306.19
1611,146.62
1651,306.16
1651,152.07
1691,306.19
1691,152.02
1731,306.17
1731,152.05
1771,306.19
1771,151.59
1811,306.17
1811,147.03
1851,306.16
1851,151.62
1891,306.16
1891,152.03
1931,306.17
1931,152.02
1971,306.19
1971,152.03
2011,306.17
2011,146.57
2051,306.16
2051,151.64
2091,306.17
2091,151.62
2131,306.17
2131,151.60
2171,306.17
2171,151.64
2211,306.19
2211,146.60
2251,306.16
2251,151.60
2291,306.17
2291,151.19
2331,306.17
2331,151.19
2371,306.17
2371,151.66
2411,306.17
2411,146.57
2451,306.16
2451,151.17
2491,306.17
2491,151.59
2531,306.16
2531,151.62
2571,306.17
2571,151.60
2611,306.17
2611,147.00
2651,306.19
2651,151.60
2691,306.17
2691,151.60
2731,306.17
2731,151.60
2771,306.17
2771,151.60
2811,306.19
2811,146.16
2851,306.17
2851,151.21
2891,306.17
2891,151.62
2931,306.17
2931,151.62
2971,306.17
2971,152.03
3011,306.17
3011,146.98
3051,306.17
3051,151.62
3091,306.17
3091,151.60
3131,306.17
3131,151.24
3171,306.17
3171,151.62
3211,306.19
3211,146.98
3251,306.17
3251,151.21
3291,306.17
3291,151.66
3331,306.17
3331,152.03
3371,306.17
3371,151.62
3411,306.19
3411,147.02
3451,306.16
3451,151.62
3491,306.19
3491,151.62
3531,306.17
3531,152.91
3571,306.16
3571,153.86
3611,306.19
3611,146.98
3651,306.17
3651,152.07
3691,306.17
3691,152.88
3731,306.16
3731,152.00
